地点,户型,category,面积(㎡),价格(万元)
西城区,中型,两居,99.0,849.1
通州区,中型,别墅,263.6,1501.3
东城区,中型,一居,69.1,449.2
朝阳区,大型,一居,79.6,331.2
西城区,中型,一居,67.8,415.0
丰台区,大型,两居,134.8,587.3
海淀区,小型,两居,78.5,577.2
西城区,大型,别墅,364.3,2020.0
丰台区,中型,三居,144.4,974.8
朝阳区,小型,一居,36.9,188.8
东城区,中型,别墅,272.4,1902.4
朝阳区,大型,一居,88.0,620.0
朝阳区,中型,三居,132.1,752.5
朝阳区,小型,三居,96.9,826.3
通州区,小型,三居,116.8,961.2
西城区,小型,两居,69.1,549.6
西城区,大型,一居,83.8,578.0
西城区,大型,两居,121.1,752.9
海淀区,小型,三居,107.9,944.1
通州区,中型,一居,57.5,335.8
丰台区,中型,一居,58.9,270.8
西城区,大型,一居,87.6,746.1
丰台区,小型,别墅,176.9,1012.9
朝阳区,中型,一居,71.6,507.8
通州区,大型,三居,160.7,842.0
东城区,小型,两居,61.7,383.2
朝阳区,小型,三居,119.9,869.2
西城区,小型,别墅,170.8,764.4
东城区,大型,三居,186.2,882.0
通州区,大型,三居,173.1,963.1
西城区,小型,三居,116.1,655.1
西城区,小型,两居,60.3,403.0
通州区,大型,两居,112.6,624.5
丰台区,小型,一居,45.0,5.0
西城区,大型,两居,120.8,723.7
朝阳区,小型,别墅,198.4,1368.1
通州区,小型,别墅,197.3,1287.8
通州区,小型,别墅,176.8,1456.1
东城区,小型,别墅,168.7,698.6
朝阳区,中型,两居,92.5,665.5
丰台区,小型,三居,107.6,771.9
西城区,大型,两居,115.7,533.5
海淀区,中型,两居,96.1,487.1
朝阳区,大型,两居,133.0,617.4
海淀区,中型,一居,55.5,426.4
东城区,小型,三居,93.0,730.5
丰台区,大型,两居,122.8,825.6
西城区,大型,一居,88.2,722.5
朝阳区,大型,三居,183.9,888.5
海淀区,小型,一居,33.7,156.3
丰台区,小型,别墅,179.3,1612.7
通州区,中型,三居,128.7,1130.4
海淀区,小型,一居,49.9,414.3
东城区,小型,别墅,171.9,1501.0
通州区,中型,别墅,226.2,1598.2
海淀区,大型,两居,132.5,1040.2
东城区,中型,一居,73.4,610.0
丰台区,小型,两居,79.8,409.2
朝阳区,大型,一居,82.4,415.9
朝阳区,中型,一居,56.9,255.1
东城区,大型,三居,165.3,1097.1
东城区,小型,别墅,161.8,1451.8
朝阳区,中型,别墅,205.9,1043.0
西城区,小型,两居,68.5,313.4
海淀区,小型,两居,73.5,558.4
西城区,大型,两居,132.3,631.4
海淀区,中型,两居,104.9,508.6
朝阳区,大型,一居,79.2,690.2
东城区,中型,三居,144.3,696.6
西城区,大型,两居,138.5,576.7
丰台区,中型,一居,64.8,516.1
朝阳区,中型,三居,126.4,589.2
丰台区,中型,一居,66.6,424.0
海淀区,中型,三居,138.8,745.8
海淀区,大型,一居,94.3,508.8
朝阳区,大型,三居,190.0,1554.2
海淀区,小型,三居,105.5,448.5
丰台区,中型,三居,129.7,1148.0
海淀区,小型,一居,30.1,236.5
东城区,小型,一居,41.1,220.5
丰台区,小型,别墅,178.6,923.0
通州区,中型,别墅,240.3,1879.6
丰台区,小型,一居,36.7,303.1
朝阳区,小型,两居,66.6,348.5
丰台区,小型,一居,47.5,255.6
通州区,大型,三居,159.9,1331.4
通州区,中型,别墅,211.0,1195.4
丰台区,大型,一居,85.7,669.4
通州区,大型,两居,111.7,516.1
东城区,小型,三居,118.1,655.2
通州区,大型,三居,180.5,1171.7
西城区,中型,三居,142.4,908.7
西城区,小型,一居,52.5,387.9
丰台区,中型,别墅,237.6,2101.8
通州区,中型,三居,139.5,1093.0
西城区,大型,别墅,356.0,1478.6
西城区,中型,一居,59.0,349.5
东城区,大型,一居,91.3,473.1
朝阳区,中型,一居,59.6,324.6
通州区,中型,三居,122.2,525.4
朝阳区,中型,两居,109.9,730.3
东城区,大型,一居,86.8,574.6
西城区,中型,三居,123.3,803.8
丰台区,小型,三居,117.5,576.6
朝阳区,小型,两居,70.0,356.8
朝阳区,中型,三居,144.2,714.1
丰台区,小型,两居,73.1,457.1
朝阳区,大型,一居,78.4,599.4
海淀区,大型,三居,166.8,1290.6
东城区,大型,一居,78.4,513.7
西城区,小型,一居,33.9,210.5
丰台区,大型,三居,172.1,1018.5
通州区,小型,三居,109.8,834.8
西城区,小型,三居,115.4,724.0
东城区,中型,别墅,233.6,1861.7
朝阳区,小型,两居,74.6,633.3
东城区,中型,一居,56.4,468.6
西城区,中型,别墅,229.4,1792.3
丰台区,中型,别墅,257.8,1559.7
丰台区,小型,一居,40.9,313.1
通州区,大型,别墅,375.6,2864.6
东城区,小型,两居,74.1,531.8
丰台区,小型,两居,74.1,409.0
西城区,中型,一居,56.0,393.8
东城区,小型,别墅,182.5,1452.1
东城区,中型,两居,93.6,708.7
海淀区,小型,两居,75.2,493.1
朝阳区,中型,别墅,221.2,1917.0
海淀区,中型,别墅,259.8,1188.0
朝阳区,大型,三居,172.0,731.5
东城区,小型,三居,114.9,884.0
东城区,小型,一居,46.8,250.9
丰台区,中型,两居,102.2,880.9
西城区,大型,三居,177.4,1144.5
朝阳区,中型,两居,96.3,844.5
通州区,小型,一居,31.0,268.7
海淀区,小型,三居,110.0,983.3
海淀区,小型,别墅,187.6,1530.7
丰台区,大型,一居,78.9,405.3
通州区,中型,别墅,254.4,1168.7
东城区,大型,一居,77.3,506.3
西城区,小型,三居,92.1,720.8
西城区,大型,一居,87.9,487.4
丰台区,大型,一居,92.5,635.5
通州区,小型,一居,31.1,155.4
东城区,大型,一居,93.1,535.0
东城区,大型,三居,168.5,911.4
海淀区,中型,别墅,225.0,1662.0
丰台区,中型,两居,89.3,390.7
丰台区,中型,三居,142.8,716.5
海淀区,大型,三居,168.7,782.5
海淀区,大型,三居,163.4,1208.5
东城区,中型,一居,71.7,575.8
东城区,小型,两居,75.6,629.1
丰台区,大型,一居,80.7,363.4
西城区,大型,两居,138.5,1146.4
海淀区,小型,两居,67.7,409.0
海淀区,中型,三居,126.9,947.9
海淀区,小型,别墅,162.6,717.0
西城区,大型,别墅,369.5,1875.5
朝阳区,小型,一居,40.5,168.0
朝阳区,小型,三居,93.6,479.6
通州区,小型,别墅,182.7,1160.7
朝阳区,小型,别墅,194.5,1017.4
丰台区,大型,一居,92.4,596.4
东城区,中型,一居,66.5,456.7
丰台区,大型,三居,172.1,768.6
西城区,中型,别墅,257.7,2278.6
通州区,中型,三居,134.5,1079.2
丰台区,中型,两居,85.1,532.1
通州区,小型,两居,71.2,639.5
朝阳区,中型,一居,62.6,423.2
东城区,中型,三居,136.0,754.4
朝阳区,大型,一居,94.8,682.6
丰台区,大型,两居,119.7,628.6
通州区,小型,两居,72.3,333.5
西城区,中型,两居,101.8,704.7
丰台区,中型,别墅,247.2,2063.7
东城区,中型,别墅,206.3,1089.2
朝阳区,大型,两居,118.0,986.7
通州区,中型,一居,65.4,523.6
东城区,大型,别墅,319.9,1350.5
朝阳区,中型,三居,134.2,1063.3
西城区,小型,别墅,191.6,855.7
海淀区,大型,三居,165.8,1131.1
东城区,中型,别墅,258.2,1714.2
西城区,大型,三居,169.2,1016.6
朝阳区,中型,别墅,229.6,1099.5
海淀区,大型,一居,81.6,679.1
通州区,大型,三居,153.9,838.9
东城区,中型,两居,107.4,671.1
海淀区,大型,别墅,340.7,1944.1
海淀区,小型,别墅,160.6,904.9
朝阳区,中型,别墅,225.3,1748.2
东城区,中型,别墅,219.4,1035.1
东城区,大型,别墅,368.0,2628.0
朝阳区,小型,别墅,161.8,744.2
东城区,大型,一居,88.1,430.4
朝阳区,大型,三居,188.8,1629.7
朝阳区,小型,三居,100.1,694.8
通州区,大型,别墅,362.6,1498.7
东城区,中型,一居,73.4,325.9
东城区,小型,三居,95.4,483.8
西城区,中型,三居,125.2,533.6
丰台区,小型,一居,30.3,264.8
海淀区,大型,别墅,292.7,2576.9
丰台区,小型,别墅,164.1,901.4
朝阳区,小型,一居,35.5,246.6
东城区,小型,一居,30.2,166.3
通州区,中型,别墅,215.9,1413.2
朝阳区,小型,别墅,175.1,1447.0
丰台区,小型,一居,43.5,279.2
通州区,中型,一居,67.0,543.5
东城区,大型,两居,114.8,673.2
海淀区,中型,一居,72.3,642.1
通州区,中型,别墅,248.5,1634.5
丰台区,中型,别墅,203.0,1321.8
通州区,中型,一居,74.5,482.8
西城区,小型,一居,44.1,351.2
海淀区,大型,三居,165.2,665.7
丰台区,小型,三居,100.4,568.9
朝阳区,中型,两居,85.3,648.6
东城区,中型,一居,58.5,345.2
通州区,中型,一居,65.0,560.4
通州区,中型,两居,98.6,833.8
东城区,中型,一居,55.8,228.4
朝阳区,大型,别墅,353.4,3158.0
海淀区,中型,一居,70.6,594.5
海淀区,小型,两居,66.4,500.9
通州区,小型,别墅,198.3,1006.5
东城区,中型,三居,143.0,665.7
通州区,大型,一居,88.6,776.5
海淀区,中型,两居,108.5,801.4
海淀区,小型,一居,40.6,218.6
丰台区,小型,别墅,163.8,1302.2
海淀区,中型,一居,71.0,590.7
东城区,中型,别墅,236.6,1077.5
朝阳区,中型,别墅,216.3,1639.8
海淀区,中型,两居,87.1,572.9
西城区,大型,三居,186.4,814.1
丰台区,小型,三居,92.7,816.6
西城区,小型,一居,30.2,242.3
西城区,中型,两居,105.6,902.6
西城区,大型,别墅,384.4,2626.1
西城区,大型,三居,178.1,1471.8
通州区,中型,一居,61.1,428.5
朝阳区,小型,一居,350.0,2800.0
通州区,小型,一居,42.9,383.8
丰台区,中型,三居,125.6,729.6
西城区,中型,一居,60.0,493.6
朝阳区,小型,别墅,177.8,1349.9
朝阳区,小型,一居,46.2,310.7
通州区,中型,别墅,240.0,1014.4
海淀区,大型,一居,90.9,467.0
朝阳区,大型,三居,168.2,1028.5
通州区,小型,两居,69.3,541.6
通州区,小型,两居,78.4,509.2
海淀区,大型,别墅,368.1,3249.4
通州区,小型,三居,100.4,873.9
西城区,中型,一居,64.7,335.5
丰台区,中型,一居,56.7,430.9
通州区,大型,别墅,373.9,2946.6
西城区,中型,三居,135.6,853.0
朝阳区,大型,三居,160.0,1378.6
通州区,大型,别墅,320.4,2608.5
朝阳区,中型,一居,69.1,292.2
丰台区,中型,一居,69.9,395.2
东城区,大型,两居,121.8,849.6
丰台区,中型,两居,90.8,684.2
东城区,小型,两居,61.9,515.1
东城区,中型,别墅,208.9,1136.5
朝阳区,大型,一居,80.3,697.3
东城区,大型,三居,187.9,1676.5
丰台区,大型,别墅,366.2,2855.3
东城区,小型,两居,61.4,500.9
海淀区,中型,别墅,257.2,1126.5
朝阳区,小型,两居,61.6,363.9
东城区,大型,三居,183.4,1070.9
东城区,小型,一居,46.7,197.4
通州区,中型,三居,120.9,511.1
朝阳区,小型,两居,74.0,393.2
东城区,中型,三居,142.5,889.9
海淀区,大型,一居,84.2,465.3
朝阳区,大型,三居,165.2,1474.7
西城区,中型,别墅,246.2,1246.7
通州区,大型,两居,133.4,960.3
海淀区,中型,两居,95.7,660.3
西城区,大型,三居,175.3,1181.8
海淀区,中型,别墅,208.6,861.2
东城区,大型,别墅,374.6,2144.2
西城区,小型,三居,107.9,443.1
西城区,大型,三居,163.0,1462.6
海淀区,大型,别墅,312.4,2512.0
朝阳区,大型,一居,78.3,461.8
通州区,小型,一居,31.6,249.0
丰台区,中型,别墅,278.5,1803.7
朝阳区,小型,三居,106.2,812.4
通州区,大型,三居,162.8,1030.9
西城区,小型,一居,33.6,211.9
西城区,大型,两居,138.4,843.6
西城区,大型,三居,178.8,907.4
东城区,小型,两居,78.9,615.4
朝阳区,中型,别墅,219.1,1310.0
西城区,中型,三居,142.3,943.5
海淀区,中型,别墅,255.2,1821.2
西城区,大型,别墅,320.8,1293.0
朝阳区,中型,三居,125.7,784.8
海淀区,中型,两居,95.1,521.0
西城区,小型,三居,96.2,488.7
朝阳区,小型,三居,103.1,679.2
海淀区,大型,两居,135.5,591.3
海淀区,大型,两居,129.7,522.4
西城区,中型,别墅,265.5,1876.5
东城区,小型,三居,101.3,806.2
海淀区,中型,别墅,213.4,1501.5
西城区,中型,别墅,208.7,1716.9
通州区,大型,别墅,299.5,2681.4
通州区,小型,三居,99.1,660.7
丰台区,小型,两居,61.3,290.9
东城区,中型,两居,87.6,744.2
海淀区,大型,一居,93.8,429.3
朝阳区,大型,一居,87.7,510.8
通州区,大型,三居,165.4,1170.5
海淀区,大型,别墅,356.3,2901.5
海淀区,小型,三居,97.5,803.6
丰台区,中型,两居,104.7,746.0
丰台区,大型,一居,94.5,639.5
朝阳区,中型,三居,132.7,840.7
西城区,大型,一居,78.5,365.9
东城区,大型,两居,137.2,1147.9
西城区,中型,一居,74.9,410.2
通州区,中型,两居,0.0,300.0
西城区,中型,两居,90.5,390.6
通州区,中型,三居,132.5,953.3
朝阳区,大型,一居,86.1,639.1
通州区,中型,一居,56.6,413.4
东城区,小型,两居,79.3,513.1
通州区,大型,一居,94.6,826.8
东城区,大型,两居,130.4,706.9
海淀区,小型,一居,45.9,243.7
东城区,中型,三居,145.1,1221.5
海淀区,大型,三居,184.1,1614.0
通州区,小型,一居,38.9,307.5
丰台区,小型,两居,83.5,533.5
西城区,中型,三居,148.4,625.8
东城区,大型,别墅,356.3,3172.9
西城区,小型,三居,97.5,475.1
通州区,中型,两居,106.3,803.5
朝阳区,中型,两居,107.8,900.4
海淀区,小型,三居,116.7,824.3
海淀区,中型,三居,145.7,1140.5
西城区,中型,一居,66.4,456.4
丰台区,中型,别墅,253.1,2051.1
朝阳区,小型,两居,62.7,447.5
海淀区,大型,三居,174.9,723.2
朝阳区,中型,两居,109.3,907.6
通州区,中型,三居,140.5,770.9
朝阳区,大型,一居,81.3,434.0
朝阳区,大型,三居,166.0,712.7
朝阳区,大型,两居,112.1,874.7
海淀区,大型,两居,115.8,866.4
海淀区,大型,三居,167.4,693.9
朝阳区,中型,一居,65.7,582.5
丰台区,大型,别墅,291.8,2091.8
通州区,中型,两居,93.7,405.2
东城区,小型,别墅,156.9,1181.1
海淀区,中型,两居,88.2,538.2
海淀区,大型,别墅,381.9,3097.8
海淀区,中型,一居,63.1,448.2
通州区,中型,两居,104.8,685.8
西城区,小型,两居,80.2,620.2
东城区,中型,两居,105.2,763.7
海淀区,中型,三居,132.2,887.5
通州区,大型,两居,134.7,588.5
西城区,小型,别墅,168.7,803.6
西城区,小型,一居,33.6,223.6
西城区,小型,两居,84.2,698.9
东城区,大型,别墅,343.1,2242.7
朝阳区,中型,一居,57.0,307.2
东城区,小型,两居,71.2,613.8
海淀区,中型,三居,143.0,944.7
朝阳区,中型,别墅,270.5,2271.2
西城区,小型,别墅,166.9,1046.0
丰台区,小型,别墅,174.5,827.6
通州区,小型,两居,66.2,302.4
海淀区,小型,两居,69.6,479.1
东城区,小型,三居,110.6,733.5
丰台区,大型,两居,138.3,899.3
东城区,大型,两居,133.7,967.5
西城区,中型,别墅,260.0,2168.5
朝阳区,小型,三居,115.8,504.2
丰台区,大型,三居,154.9,1373.3
丰台区,大型,三居,156.3,1055.7
西城区,大型,一居,88.6,673.8
丰台区,大型,三居,178.7,1169.5
丰台区,中型,三居,133.1,997.1
丰台区,大型,别墅,384.7,2392.2
朝阳区,大型,别墅,292.8,1981.1
海淀区,小型,两居,60.0,517.7
丰台区,中型,别墅,252.4,1204.4
丰台区,小型,一居,41.6,293.3
通州区,大型,别墅,316.0,2552.9
通州区,小型,别墅,168.3,1010.3
朝阳区,大型,两居,124.3,838.9
朝阳区,大型,两居,133.4,887.3
西城区,中型,别墅,248.0,1428.0
朝阳区,大型,两居,119.2,511.3
丰台区,大型,两居,115.0,636.9
西城区,小型,一居,37.3,219.1
朝阳区,小型,两居,79.8,487.6
朝阳区,小型,三居,96.0,533.6
东城区,大型,两居,131.7,959.1
朝阳区,小型,一居,52.3,231.9
海淀区,小型,别墅,200.0,1150.0
丰台区,小型,别墅,172.8,969.2
朝阳区,中型,一居,56.6,292.3
丰台区,大型,一居,94.5,625.9
西城区,小型,两居,84.1,395.6
西城区,大型,别墅,324.4,2468.0
朝阳区,中型,两居,100.2,477.4
东城区,中型,两居,96.0,634.9
西城区,大型,一居,85.8,760.0
东城区,中型,两居,97.6,474.6
西城区,中型,三居,143.5,1196.1
朝阳区,大型,别墅,378.1,2078.4
西城区,大型,一居,89.6,398.8
朝阳区,中型,两居,97.5,477.1
西城区,大型,一居,80.7,645.1
西城区,中型,三居,143.3,940.9
朝阳区,中型,三居,145.9,765.0
通州区,小型,三居,97.5,699.6
朝阳区,大型,别墅,40.0,350.0
海淀区,大型,两居,122.4,875.0
朝阳区,小型,别墅,179.7,1275.3
通州区,中型,两居,108.2,777.8
西城区,大型,三居,152.6,820.2
东城区,大型,三居,188.7,1525.5
海淀区,大型,一居,79.4,641.8
海淀区,小型,一居,37.7,320.3
西城区,小型,别墅,179.3,1220.7
通州区,中型,三居,126.1,886.9
海淀区,大型,两居,116.0,478.2
西城区,中型,三居,120.4,957.2
西城区,中型,别墅,267.6,2374.3
通州区,大型,一居,77.9,548.2
朝阳区,小型,别墅,157.9,1390.1
东城区,小型,一居,46.5,298.9
朝阳区,小型,三居,96.9,494.3
丰台区,小型,三居,110.1,912.6
西城区,小型,别墅,172.6,887.6
东城区,小型,别墅,196.5,1610.5
通州区,大型,三居,170.6,1107.8
朝阳区,小型,三居,97.1,713.2
东城区,大型,一居,87.0,678.7
海淀区,小型,别墅,156.8,989.2
海淀区,小型,三居,111.6,728.1
西城区,小型,别墅,166.5,767.8
通州区,小型,别墅,177.7,776.1
西城区,中型,别墅,251.4,1038.6
丰台区,大型,别墅,384.7,1607.9
丰台区,中型,三居,136.5,1179.1
东城区,小型,两居,61.4,401.4
东城区,中型,别墅,201.3,1323.9
海淀区,中型,一居,60.0,270.8
通州区,小型,别墅,165.4,680.8
朝阳区,大型,别墅,359.6,3126.6
海淀区,小型,三居,114.9,774.4
海淀区,小型,三居,104.2,551.8
东城区,中型,两居,93.0,593.2
丰台区,中型,三居,132.1,868.3
通州区,大型,一居,82.3,486.7
朝阳区,中型,别墅,233.5,1615.4
丰台区,大型,一居,78.6,320.0
西城区,小型,三居,94.3,438.5
东城区,大型,三居,185.0,1253.0
海淀区,中型,一居,61.6,533.1
丰台区,大型,一居,84.7,645.7
西城区,小型,两居,84.2,675.5
朝阳区,中型,别墅,241.8,2097.3
通州区,小型,别墅,186.4,1457.5
东城区,中型,三居,144.9,1138.3
丰台区,小型,三居,104.8,467.0
通州区,中型,一居,72.8,561.8
朝阳区,小型,一居,38.5,183.9
通州区,大型,别墅,343.9,2594.3
东城区,中型,一居,57.3,235.2
丰台区,中型,一居,69.1,370.0
丰台区,中型,两居,100.5,708.3
海淀区,中型,别墅,276.7,1655.6
西城区,大型,一居,87.1,501.8
海淀区,大型,三居,164.1,1274.6
丰台区,大型,三居,160.9,1315.1
海淀区,中型,别墅,256.0,2005.6
朝阳区,小型,一居,30.7,153.3
海淀区,小型,别墅,152.5,899.1
丰台区,小型,两居,84.8,389.4
通州区,大型,一居,92.4,532.5
朝阳区,大型,别墅,381.5,1702.1
海淀区,小型,两居,67.8,558.7
朝阳区,大型,三居,167.7,1393.0
丰台区,中型,别墅,264.9,1571.0
朝阳区,中型,三居,122.9,756.5
丰台区,小型,两居,71.1,590.2
西城区,中型,三居,148.9,640.9
西城区,小型,一居,51.8,367.7
丰台区,中型,别墅,269.9,1673.8
东城区,小型,三居,100.9,586.5
东城区,中型,两居,97.7,616.8
通州区,小型,一居,34.4,271.6
东城区,小型,别墅,172.4,694.1
通州区,中型,三居,133.2,855.3
丰台区,中型,一居,68.8,497.4
丰台区,中型,两居,102.6,643.3
朝阳区,中型,一居,71.9,504.6
东城区,大型,别墅,310.4,1266.8
海淀区,小型,别墅,197.5,986.9
东城区,中型,三居,131.3,631.7
西城区,小型,两居,80.8,427.0
海淀区,中型,一居,70.7,321.0
通州区,大型,一居,95.0,510.4
朝阳区,小型,别墅,154.0,759.1
海淀区,中型,两居,85.0,461.9
海淀区,大型,别墅,373.9,2144.7
西城区,小型,两居,71.4,525.8
西城区,中型,三居,139.8,577.2
朝阳区,大型,别墅,296.1,1355.3
西城区,小型,三居,109.9,792.2
西城区,大型,别墅,320.0,99999.0
通州区,大型,两居,139.2,1003.9
东城区,小型,三居,118.4,761.5
西城区,大型,一居,80.9,626.0
丰台区,小型,一居,50.8,225.2
丰台区,中型,两居,99.8,544.5
朝阳区,小型,别墅,157.7,864.8
东城区,小型,两居,75.7,359.9
东城区,小型,一居,47.0,302.4
通州区,中型,三居,139.2,958.2
朝阳区,小型,一居,50.2,202.4
通州区,小型,三居,106.5,492.7
丰台区,小型,一居,35.3,282.0
海淀区,小型,两居,78.0,429.1
西城区,小型,三居,113.6,592.7
丰台区,小型,别墅,159.4,1193.5
朝阳区,小型,两居,76.4,456.7
海淀区,小型,两居,78.2,435.4
丰台区,大型,别墅,390.5,3509.5
海淀区,大型,一居,77.2,476.5
朝阳区,小型,两居,82.9,521.8
西城区,小型,别墅,154.8,1191.0
海淀区,中型,三居,132.6,1130.3
通州区,大型,两居,120.3,1009.3
东城区,中型,三居,140.3,727.8
